JOUR,HEURE,ID_MALE,VU,DIFFUSION,DIFFUSION_SOUS_TYPE,SESSION_DIFF,SESSION_TYPE,SESSION_SOUS_TYPE,STROPHES_AVANT,DISTANCE_MIN,LATENCE,STROPHES_APRES,CRIS,SURVOLS,FEMELLE,PUBLIC,TEMPERATURE,VENT_MOY,VENT_MAX,PLUIE,ENSOLEILLEMENT,MEMO
1,1045,5,0,FTNcomp,1,3,1,1,0,90,180,0,0,0,0,1,14.2,8,22.5,0,536,
1,1055,6,0,FG,1,3,1,1,7,10,32,4,19,0,0,1,14.2,8,22.5,0,536,2males
1,1113,1,0,TN,3,4,1,1,6,5,15,8,0,4,0,2,14.1,10,20.9,0,332,
1,1124,2,0,FTNgaz,4,4,1,1,0,2,16,5,0,4,0,2,14.1,10,20.9,0,332,
1,1131,3,0,FTNcomp,1,4,1,1,2,5,38,18,0,0,0,0,14.9,8,20.9,0,893,
1,1140,4,1,FTNsif,3,4,1,1,0,90,180,0,0,0,0,0,14.9,8,20.9,0,893,
1,1150,5,1,FTNgaz,2,4,1,1,0,2,22,7,8,2,1,0,14.9,8,20.9,0,893,tresprocheenceinte
1,1200,6,0,TN,1,4,1,1,0,10,139,0,2,0,0,6,15.3,6,16.1,0,956,
1,1307,1,0,FG,3,5,1,1,0,90,180,0,0,0,0,8,15.9,8,19.3,0,856,
1,1317,2,0,FJ,4,5,1,1,0,90,5,0,0,0,0,1,15.9,8,19.3,0,856,recre
1,1324,3,0,FG,3,5,1,1,0,90,180,0,0,0,0,0,15.9,8,19.3,0,856,recre
1,1332,4,0,TN,4,5,1,1,0,90,180,0,0,0,0,0,15.9,8,24.1,0,287,
1,1342,5,0,FG,4,5,1,1,0,2,13,5,48,2,0,5,15.9,8,24.1,0,287,
1,1352,6,0,FJ,2,5,1,1,0,90,180,0,0,0,0,5,15.9,8,24.1,0,287,
1,1410,1,0,FTNcomp,2,6,1,1,0,2,37,2,0,4,0,2,16.4,6,17.7,0,766,
